city_id,city,country_id,last_update
1,A Corua (La Corua),87,2025-01-29 21:20:28.425555
2,Abha,82,2025-01-29 21:20:28.425555
3,Abu Dhabi,101,2025-01-29 21:20:28.425555
4,Acua,60,2025-01-29 21:20:28.425555
5,Adana,97,2025-01-29 21:20:28.425555
6,Addis Abeba,31,2025-01-29 21:20:28.425555
7,Aden,107,2025-01-29 21:20:28.425555
8,Adoni,44,2025-01-29 21:20:28.425555
9,Ahmadnagar,44,2025-01-29 21:20:28.425555
10,Akishima,50,2025-01-29 21:20:28.425555
11,Akron,103,2025-01-29 21:20:28.425555
12,al-Ayn,101,2025-01-29 21:20:28.425555
13,al-Hawiya,82,2025-01-29 21:20:28.425555
14,al-Manama,11,2025-01-29 21:20:28.425555
15,al-Qadarif,89,2025-01-29 21:20:28.425555
16,al-Qatif,82,2025-01-29 21:20:28.425555
17,Alessandria,49,2025-01-29 21:20:28.425555
18,Allappuzha (Alleppey),44,2025-01-29 21:20:28.425555
19,Allende,60,2025-01-29 21:20:28.425555
20,Almirante Brown,6,2025-01-29 21:20:28.425555
21,Alvorada,15,2025-01-29 21:20:28.425555
22,Ambattur,44,2025-01-29 21:20:28.425555
23,Amersfoort,67,2025-01-29 21:20:28.425555
24,Amroha,44,2025-01-29 21:20:28.425555
25,Angra dos Reis,15,2025-01-29 21:20:28.425555
26,Anpolis,15,2025-01-29 21:20:28.425555
27,Antofagasta,22,2025-01-29 21:20:28.425555
28,Aparecida de Goinia,15,2025-01-29 21:20:28.425555
29,Apeldoorn,67,2025-01-29 21:20:28.425555
30,Araatuba,15,2025-01-29 21:20:28.425555
31,Arak,46,2025-01-29 21:20:28.425555
32,Arecibo,77,2025-01-29 21:20:28.425555
33,Arlington,103,2025-01-29 21:20:28.425555
34,Ashdod,48,2025-01-29 21:20:28.425555
35,Ashgabat,98,2025-01-29 21:20:28.425555
36,Ashqelon,48,2025-01-29 21:20:28.425555
37,Asuncin,73,2025-01-29 21:20:28.425555
38,Athenai,39,2025-01-29 21:20:28.425555
39,Atinsk,80,2025-01-29 21:20:28.425555
